"trial","ref_position","var_area","response","correct","rt"
1,"R",14.8871801604982,"L",TRUE,5.54900002479553
2,"L",8.11386238131672,"L",TRUE,2.04800009727478
3,"L",8.0210794210434,"L",TRUE,1.95799994468689
4,"L",9.27671602414921,"R",TRUE,1.25999999046326
5,"L",8.46504988241941,"R",FALSE,1.37000012397766
6,"L",13.3773407940753,"R",TRUE,1.40599989891052
7,"R",14.1714848424308,"L",TRUE,1.17600011825562
8,"R",10.1618319991976,"R",FALSE,1.28200006484985
9,"R",10.260596575914,"L",TRUE,1.37100005149841
10,"L",12.7012845596764,"R",TRUE,1.1710000038147
11,"L",13.2374379814137,"R",TRUE,1.07299995422363
12,"L",12.4235763181932,"R",TRUE,1.09200000762939
13,"L",9.96388674108312,"R",TRUE,1.07800006866455
14,"R",8.59285987564363,"R",TRUE,1.27699995040894
15,"R",8.29683619271964,"R",TRUE,1.36199998855591
16,"L",12.9058335539885,"R",TRUE,1.09200000762939
17,"R",13.6205387238879,"L",TRUE,0.990000009536743
18,"R",13.8658354848158,"L",TRUE,0.895999908447266
19,"L",9.1555305684451,"R",TRUE,1.08899998664856
20,"L",13.0484166732058,"R",TRUE,1.08999991416931
